"filename", "language", "JavaScript", "TypeScript", "Vue", "XML", "JSON", "JSON with Comments", "Markdown", "HTML", "Python", "pip requirements", "Properties", "comment", "blank", "total"
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\pre_generate\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\pre_generate\statistics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, -11, -63
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\pre_generate\validate.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -3, -30
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\protocols.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, -16, -65
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\static\dummy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, -7, -50
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\utils\csv.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -3, -15
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\utils\logger.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, -8, -34
"c:\Users\User\Documents\Projects\Option blocks\website\server\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User\Documents\Projects\Option blocks\website\server\core\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -8, -5, -17
"c:\Users\User\Documents\Projects\Option blocks\website\server\core\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -154, 0, 0, -32, -62, -248
